key,statut,categorie,declencheur,canal,timing,open_rate,volume_mois,wording_url,jira_ticket,retake,push_content,sujet_email,date_added,cible,body_html
ACCOUNT_SECURITY,en_prod,transactional,Suspicious login detected,Email + Push,Immediate,78%,500,https://docs.google.com/security-alert,NOTIF-601,false,⚠️ New login detected on your account,Security Alert: New Login Detected,2024-01-05,both,"<p><strong>Security Alert</strong></p><p>We detected a new login to your account:</p><ul><li>Location: Paris, France</li><li>Device: Chrome on Windows</li><li>Time: Today at 3:45 PM</li></ul><p>If this wasn't you, please secure your account immediately.</p>"
PASSWORD_RESET,en_prod,transactional,User requests password reset,Email,Immediate,85%,2000,https://docs.google.com/password-reset,NOTIF-602,false,,Reset your password,2024-01-05,both,
EMAIL_VERIFICATION,en_prod,transactional,User changes email address,Email,Immediate,72%,1500,https://docs.google.com/email-verify,NOTIF-603,false,,Verify your new email address,2024-01-05,both,
SUBSCRIPTION_RENEWAL,en_prod,transactional,Subscription renews in 7 days,Email,D-7,45%,3000,https://docs.google.com/renewal-notice,NOTIF-701,false,,Your subscription renews soon,2024-02-20,social,
SUBSCRIPTION_EXPIRED,en_prod,expired,Subscription ended,Email,Immediate,25%,1800,https://docs.google.com/sub-expired,NOTIF-702,false,,Your subscription has ended,2024-03-01,social,
TRIAL_ENDING,en_proposition,reminders,Trial ends in 3 days,Email + Push,D-3,55%,4000,https://docs.google.com/trial-ending,NOTIF-703,false,Your free trial ends in 3 days!,Don't lose access - Trial ending soon,2024-04-10,both,
FEATURE_ANNOUNCEMENT,planifié,engagement,New feature launched,Email,Immediate,35%,50000,https://docs.google.com/new-feature,NOTIF-801,false,,Introducing: Advanced Analytics,2024-05-01,both,"<p>We're excited to announce <strong>Advanced Analytics</strong>!</p><p>Now you can:</p><ul><li>Track engagement in real-time</li><li>Compare performance across campaigns</li><li>Export detailed reports</li></ul>"
SURVEY_REQUEST,planifié,engagement,Quarterly NPS survey,Email,Quarterly,20%,40000,https://docs.google.com/nps-survey,NOTIF-802,false,,Share your feedback with us,2024-06-01,both,
REFERRAL_PROGRAM,en_proposition,engagement,User completes 5 campaigns,Email,Milestone,40%,2500,https://docs.google.com/referral,NOTIF-803,false,,Invite friends and earn rewards,2024-04-15,social,
CONTENT_APPROVED,en_prod,transactional,Brand approves submitted content,Email + Push,Immediate,65%,8000,https://docs.google.com/content-approved,NOTIF-901,false,✅ Your content was approved!,Great news - Content approved!,2024-02-10,social,
CONTENT_REVISION,en_prod,transactional,Brand requests content revision,Email + Push,Immediate,70%,3000,https://docs.google.com/revision-request,NOTIF-902,false,Content revision requested,Action needed: Content revision,2024-02-10,social,
DEPRECATED_OLD_WELCOME,supprimé,onboarding,Legacy welcome flow,Email,Immediate,30%,0,https://docs.google.com/old-welcome,NOTIF-001,false,,Welcome to our platform,2023-06-01,both,
